Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Malaria, Cum 2018†","Malaria, Cum 2018†, flag","Measles§, Idigenousis, Current week","Measles§, Idigenousis, Current week, flag","Measles§, Idigenousis, Previous 52 weeks Max†","Measles§, Idigenousis, Previous 52 weeks Max†, flag","Measles§, Idigenousis, Cum 2019†","Measles§, Idigenousis, Cum 2019†, flag","Measles§, Idigenousis, Cum 2018†","Measles§, Idigenousis, Cum 2018†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Imported, Cum 2018†","Measles§, Imported, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
ALASKA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190158
PENNSYLVANIA,2019,1,,-,8,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190113
WEST SOUTH CENTRAL,2019,1,,-,5,,,-,,-,,-,5,,,-,,-,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20190143
INDIANA,2019,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,1,,"INDIANA
(39.919991, -86.2818)",,20190116
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190164
TOTAL,2019,1,,-,53,,,-,23,,,-,9,,,-,,-,,-,16,,,-,1,,,TOTAL,20190170
VERMONT,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190108
SOUTH DAKOTA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190127
WEST NORTH CENTRAL,2019,1,,-,5,,,-,1,,,-,5,,,-,,-,,-,6,,,-,,-,,WEST NORTH CENTRAL,20190120
OKLAHOMA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190146
COLORADO,2019,1,,-,3,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190150
HAWAII,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190160
NORTH CAROLINA,2019,1,,-,4,,,-,2,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190134
ILLINOIS,2019,1,,-,4,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190115
NEW YORK CITY,2019,1,,-,11,,,-,3,,,-,9,,,-,,-,,-,2,,,-,,-,,NEW YORK CITY,20190112
WASHINGTON,2019,1,,-,4,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190162
MINNESOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190123
EAST NORTH CENTRAL,2019,1,,-,7,,,-,2,,,-,1,,,-,,-,,-,4,,,-,1,,,EAST NORTH CENTRAL,20190114
NEW MEXICO,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190154
KANSAS,2019,1,,-,2,,,-,1,,,-,5,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190122
SOUTH ATLANTIC,2019,1,,-,21,,,-,9,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC,20190128
EAST SOUTH CENTRAL,2019,1,,-,4,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190138
FLORIDA,2019,1,,-,4,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190131
TEXAS,2019,1,,-,5,,,-,,-,,-,5,,,-,,-,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190147
IDAHO,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190151
WYOMING,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190156
NEW HAMPSHIRE,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190106
MARYLAND,2019,1,,-,9,,,-,5,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190133
CONNECTICUT,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190103
MISSISSIPPI,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190141
DELAWARE,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190129
MIDDLE ATLANTIC,2019,1,,-,24,,,-,8,,,-,9,,,-,,-,,-,16,,,-,,-,,MIDDLE ATLANTIC,20190109
PUERTO RICO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190167
TENNESSEE,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190142
SOUTH CAROLINA,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190135
NEW ENGLAND,2019,1,,-,5,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20190102
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190168
IOWA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190121
ARIZONA,2019,1,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190149
US RESIDENTS,2019,1,,-,53,,,-,23,,,-,9,,,-,,-,,-,16,,,-,1,,,US RESIDENTS,20190101
MONTANA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190152
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190169
NEW JERSEY,2019,1,,-,6,,,-,3,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190110
VIRGINIA,2019,1,,-,5,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190136
ALABAMA,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190139
WEST VIRGINIA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190137
MOUNTAIN,2019,1,,-,7,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,,MOUNTAIN,20190148
NEBRASKA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190125
RHODE ISLAND,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190107
LOUISIANA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190145
DISTRICT OF COLUMBIA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190130
OREGON,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190161
ARKANSAS,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190144
CALIFORNIA,2019,1,,-,5,,,-,1,,,-,3,,,-,,-,,-,2,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190159
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190165
NEVADA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190153
NORTH DAKOTA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190126
MAINE,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190104
MISSOURI,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190124
MASSACHUSETTS,2019,1,,-,4,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190105
NEW YORK,2019,1,,-,4,,,-,2,,,-,0,,,-,,-,,-,14,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190111
PACIFIC,2019,1,,-,8,,,-,1,,,-,3,,,-,,-,,-,2,,,-,,-,,PACIFIC,20190157
MICHIGAN,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190117
OHIO,2019,1,,-,4,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190118
UTAH,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190155
GEORGIA,2019,1,,-,7,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190132
WISCONSIN,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190119
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190166
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190163
KENTUCKY,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190140
EAST SOUTH CENTRAL,2019,2,,-,4,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190238
FLORIDA,2019,2,,-,4,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190231
NEBRASKA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190225
MISSISSIPPI,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190241
ARKANSAS,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190244
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190265
GEORGIA,2019,2,,-,7,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190232
MASSACHUSETTS,2019,2,,-,4,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190205
OKLAHOMA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190246
KENTUCKY,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190240
MONTANA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190252
PACIFIC,2019,2,,-,8,,,-,4,,,-,3,,,-,,-,,-,2,,1,,,-,,PACIFIC,20190257
DISTRICT OF COLUMBIA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190230
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190266
UTAH,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190255
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190268
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190269
NEW YORK,2019,2,,-,4,,,-,2,,,-,0,,,-,,-,,-,14,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190211
ARIZONA,2019,2,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190249
US RESIDENTS,2019,2,3,,53,,6,,42,,,-,9,,,-,,-,,-,16,,1,,2,,,US RESIDENTS,20190201
TOTAL,2019,2,3,,53,,6,,42,,,-,9,,,-,,-,,-,16,,1,,2,,,TOTAL,20190270
NORTH CAROLINA,2019,2,,-,4,,,-,2,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190234
IDAHO,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190251
VERMONT,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190208
KANSAS,2019,2,,-,2,,1,,1,,,-,5,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190222
NEW MEXICO,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190254
ALASKA,2019,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190258
VIRGINIA,2019,2,,-,5,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190236
WYOMING,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190256
INDIANA,2019,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.919991, -86.2818)",,20190216
SOUTH CAROLINA,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190235
MISSOURI,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190224
NORTH DAKOTA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190226
WISCONSIN,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190219
PUERTO RICO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190267
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190263
MOUNTAIN,2019,2,,-,7,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,,MOUNTAIN,20190248
EAST NORTH CENTRAL,2019,2,,-,7,,,-,4,,,-,1,,,-,,-,,-,4,,,-,2,,,EAST NORTH CENTRAL,20190214
MICHIGAN,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190217
RHODE ISLAND,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190207
CALIFORNIA,2019,2,,-,5,,,-,3,,,-,3,,,-,,-,,-,2,,1,,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190259
MARYLAND,2019,2,,-,9,,,-,6,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190233
COLORADO,2019,2,,-,3,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190250
WEST VIRGINIA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190237
NEW JERSEY,2019,2,,-,6,,1,,4,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190210
CONNECTICUT,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190203
NEW ENGLAND,2019,2,,-,5,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20190202
TEXAS,2019,2,,-,5,,,-,,-,,-,5,,,-,,-,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190247
MINNESOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190223
PENNSYLVANIA,2019,2,1,,8,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190213
MIDDLE ATLANTIC,2019,2,3,,24,,5,,14,,,-,9,,,-,,-,,-,16,,,-,,-,,MIDDLE ATLANTIC,20190209
NEW HAMPSHIRE,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190206
LOUISIANA,2019,2,,-,2,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190245
AMERICAN SAMOA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190264
ALABAMA,2019,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190239
OHIO,2019,2,,-,4,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190218
ILLINOIS,2019,2,,-,4,,,-,2,,,-,1,,,-,,-,,-,1,,,-,1,,"ILLINOIS
(40.124144, -89.148632)",,20190215
WEST NORTH CENTRAL,2019,2,,-,5,,1,,2,,,-,5,,,-,,-,,-,6,,,-,,-,,WEST NORTH CENTRAL,20190220
NEW YORK CITY,2019,2,2,,11,,3,,6,,,-,9,,,-,,-,,-,2,,,-,,-,,NEW YORK CITY,20190212
SOUTH DAKOTA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190227
WASHINGTON,2019,2,,-,4,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190262
OREGON,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190261
WEST SOUTH CENTRAL,2019,2,,-,5,,,-,2,,,-,5,,,-,,-,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20190243
SOUTH ATLANTIC,2019,2,,-,21,,,-,13,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC,20190228
NEVADA,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190253
TENNESSEE,2019,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190242
DELAWARE,2019,2,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190229
HAWAII,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190260
MAINE,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190204
IOWA,2019,2,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190221
NEW YORK,2019,3,2,,4,,2,,3,,,-,0,,,-,,-,4,,14,,6,,,-,"NEW YORK
(42.921241, -75.59655)",,20190311
WEST VIRGINIA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190337
ALASKA,2019,3,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190358
TEXAS,2019,3,1,,5,,1,,,-,,-,5,,,-,,-,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190347
CALIFORNIA,2019,3,,-,5,,1,,4,,,-,3,,,-,,-,,-,2,,1,,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190359
PENNSYLVANIA,2019,3,2,,8,,3,,4,,,-,0,,,-,,-,,-,1,,1,,1,,"PENNSYLVANIA
(40.896694, -77.838886)",,20190313
NEVADA,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190353
IOWA,2019,3,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190321
TOTAL,2019,3,10,,53,,23,,64,,,-,9,,2,,,-,5,,18,,10,,4,,,TOTAL,20190370
VIRGINIA,2019,3,1,,5,,2,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190336
COLORADO,2019,3,,-,3,,,-,2,,,-,0,,,-,,-,1,,0,,1,,,-,"COLORADO
(38.998552, -105.547832)",,20190350
MASSACHUSETTS,2019,3,,-,4,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190305
WEST NORTH CENTRAL,2019,3,1,,5,,2,,4,,,-,5,,,-,,-,,-,6,,,-,,-,,WEST NORTH CENTRAL,20190320
DISTRICT OF COLUMBIA,2019,3,,-,2,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190330
ARKANSAS,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,"ARKANSAS
(34.899825, -92.439162)",,20190344
NEBRASKA,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190325
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190365
SOUTH ATLANTIC,2019,3,3,,21,,5,,19,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC,20190328
MARYLAND,2019,3,2,,9,,2,,7,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190333
KANSAS,2019,3,,-,2,,1,,2,,,-,5,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190322
GUAM,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190366
TENNESSEE,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190342
UTAH,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190355
OREGON,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,1,,,-,"OREGON
(43.940449, -120.605279)",,20190361
OKLAHOMA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190346
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190363
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190369
KENTUCKY,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190340
AMERICAN SAMOA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190364
NEW MEXICO,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190354
EAST NORTH CENTRAL,2019,3,,-,7,,,-,8,,,-,1,,,-,,-,,-,4,,,-,2,,,EAST NORTH CENTRAL,20190314
MONTANA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190352
NORTH CAROLINA,2019,3,,-,4,,,-,2,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190334
ALABAMA,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190339
LOUISIANA,2019,3,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190345
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190368
WASHINGTON,2019,3,,-,4,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190362
EAST SOUTH CENTRAL,2019,3,,-,4,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190338
ILLINOIS,2019,3,,-,4,,,-,3,,,-,1,,,-,,-,,-,1,,,-,1,,"ILLINOIS
(40.124144, -89.148632)",,20190315
DELAWARE,2019,3,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190329
